sample_date,postal_code,lead_concentration_ppb,year,month,region,season
2015-01-02,M1N,0.0024,2015,1,central toronto,winter
2015-01-02,M4V,5.23e-4,2015,1,central toronto,winter
2015-01-02,M4J,0.0111,2015,1,east toronto,winter
2015-01-02,M6H,6.77e-4,2015,1,west toronto,winter
2015-01-02,M6R,5.01e-5,2015,1,west toronto,winter
2015-01-02,M6J,2.22e-4,2015,1,west toronto,winter
2015-01-03,M6P,0.00261,2015,1,west toronto,winter
2015-01-05,M4J,5e-5,2015,1,east toronto,winter
2015-01-05,M4J,5.13e-4,2015,1,east toronto,winter
2015-01-05,M6S,0.00679,2015,1,west toronto,winter
2015-01-05,M6H,7.33e-5,2015,1,west toronto,winter
2015-01-05,M9R,2.47e-4,2015,1,central toronto,winter
2015-01-05,M2R,8.68e-5,2015,1,central toronto,winter
2015-01-05,M4C,3.55e-4,2015,1,central toronto,winter
2015-01-05,M1N,0.0092,2015,1,central toronto,winter
2015-01-05,M6C,2.07e-4,2015,1,central toronto,winter
2015-01-05,M6C,4.91e-4,2015,1,central toronto,winter
2015-01-05,M6P,2.25e-4,2015,1,west toronto,winter
2015-01-06,M4R,6.45e-4,2015,1,central toronto,winter
2015-01-07,M8Y,9.64e-5,2015,1,central toronto,winter
2015-01-07,M6E,9.83e-5,2015,1,central toronto,winter
2015-01-07,M4C,0.00216,2015,1,central toronto,winter
2015-01-07,M1R,5e-5,2015,1,central toronto,winter
2015-01-08,M5M,1.43e-4,2015,1,central toronto,winter
2015-01-08,M4K,7.05e-4,2015,1,east toronto,winter
2015-01-08,M6G,2.28e-4,2015,1,downtown toronto,winter
2015-01-09,M5M,0.00521,2015,1,central toronto,winter
2015-01-09,M4C,0.00201,2015,1,central toronto,winter
2015-01-09,M5M,9.65e-4,2015,1,central toronto,winter
2015-01-09,M4K,0.00133,2015,1,east toronto,winter
2015-01-09,M4T,6.53e-5,2015,1,central toronto,winter
2015-01-12,M4K,0.343,2015,1,east toronto,winter
2015-01-13,M6S,0.0012,2015,1,west toronto,winter
2015-01-13,M4J,0.00157,2015,1,east toronto,winter
2015-01-13,M4E,0.00234,2015,1,east toronto,winter
2015-01-13,M5M,0.00284,2015,1,central toronto,winter
